"anio","mes","nombre_mes","total_mensual"
2015,1,Enero,32
2015,2,Febrero,30
2015,3,Marzo,31
2015,4,Abril,35
2015,5,Mayo,28
2015,6,Junio,28
2015,7,Julio,33
2015,8,Agosto,40
2015,9,Septiembre,41
2015,10,Octubre,46
2015,11,Noviembre,30
2015,12,Diciembre,39
2016,1,Enero,35
2016,2,Febrero,47
2016,3,Marzo,68
2016,4,Abril,56
2016,5,Mayo,51
2016,6,Junio,59
2016,7,Julio,41
2016,8,Agosto,46
2016,9,Septiembre,54
2016,10,Octubre,46
2016,11,Noviembre,58
2016,12,Diciembre,47
2017,1,Enero,49
2017,2,Febrero,64
2017,3,Marzo,61
2017,4,Abril,62
2017,5,Mayo,70
2017,6,Junio,75
2017,7,Julio,70
2017,8,Agosto,68
2017,9,Septiembre,56
2017,10,Octubre,59
2017,11,Noviembre,57
2017,12,Diciembre,55
2018,1,Enero,69
2018,2,Febrero,67
2018,3,Marzo,69
2018,4,Abril,79
2018,5,Mayo,63
2018,6,Junio,76
2018,7,Julio,84
2018,8,Agosto,66
2018,9,Septiembre,79
2018,10,Octubre,85
2018,11,Noviembre,68
2018,12,Diciembre,99
2019,1,Enero,67
2019,2,Febrero,66
2019,3,Marzo,76
2019,4,Abril,68
2019,5,Mayo,78
2019,6,Junio,82
2019,7,Julio,87
2019,8,Agosto,91
2019,9,Septiembre,87
2019,10,Octubre,72
2019,11,Noviembre,80
2019,12,Diciembre,92
2020,1,Enero,73
2020,2,Febrero,91
2020,3,Marzo,76
2020,4,Abril,72
2020,5,Mayo,67
2020,6,Junio,94
2020,7,Julio,73
2020,8,Agosto,74
2020,9,Septiembre,80
2020,10,Octubre,78
2020,11,Noviembre,85
2020,12,Diciembre,84
2021,1,Enero,76
2021,2,Febrero,75
2021,3,Marzo,103
2021,4,Abril,79
2021,5,Mayo,106
2021,6,Junio,84
2021,7,Julio,70
2021,8,Agosto,108
2021,9,Septiembre,64
2021,10,Octubre,67
2021,11,Noviembre,72
2021,12,Diciembre,81
2022,1,Enero,81
2022,2,Febrero,86
2022,3,Marzo,76
2022,4,Abril,84
2022,5,Mayo,86
2022,6,Junio,94
2022,7,Julio,63
2022,8,Agosto,74
2022,9,Septiembre,82
2022,10,Octubre,86
2022,11,Noviembre,75
2022,12,Diciembre,78
2023,1,Enero,72
2023,2,Febrero,76
2023,3,Marzo,84
2023,4,Abril,64
2023,5,Mayo,61
2023,6,Junio,83
2023,7,Julio,71
2023,8,Agosto,69
2023,9,Septiembre,53
2023,10,Octubre,64
2023,11,Noviembre,73
2023,12,Diciembre,62
2024,1,Enero,62
2024,2,Febrero,62
2024,3,Marzo,77
2024,4,Abril,65
2024,5,Mayo,88
2024,6,Junio,67
2024,7,Julio,68
2024,8,Agosto,60
2024,9,Septiembre,77
2024,10,Octubre,73
2024,11,Noviembre,63
2024,12,Diciembre,62
2025,1,Enero,60
2025,2,Febrero,46
2025,3,Marzo,63
2025,4,Abril,53
2025,5,Mayo,66
2025,6,Junio,57
2025,7,Julio,58
2025,8,Agosto,49
2025,9,Septiembre,68
2025,10,Octubre,75
2025,11,Noviembre,75
2025,12,Diciembre,41
