"nombre_entidad","region","total_victimas"
México,Centro,968158
Ciudad de México,CDMX,504427
Guanajuato,Centro,349618
Jalisco,Centro,335929
Nuevo León,Norte,334483
Baja California,Norte,288377
Chihuahua,Norte,255742
Veracruz de Ignacio de la Llave,Sur,236165
Coahuila de Zaragoza,Norte,191318
Puebla,Centro,188083
San Luis Potosí,Centro,152169
Tabasco,Sur,149039
Tamaulipas,Norte,147239
Hidalgo,Centro,146811
Oaxaca,Sur,139578
Michoacán de Ocampo,Centro,131775
Morelos,Centro,126953
Querétaro,Centro,125045
Quintana Roo,Sur,124916
Sinaloa,Norte,116519
Durango,Norte,109052
Sonora,Norte,106632
Guerrero,Sur,100781
Aguascalientes,Centro,77428
Chiapas,Sur,71671
Zacatecas,Centro,70452
Colima,Centro,65194
Baja California Sur,Norte,59413
Yucatán,Sur,30027
Campeche,Sur,26831
Nayarit,Centro,26188
Tlaxcala,Centro,7358
